"Phi [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Theta='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Theta='0deg'"
110,-8.24480363596307,-7.82634743532594,-8.04797060892178,-7.57800345238768,-6.78417170201165,-8.26490484997271,-7.92113732907663,-12.2735538127682,-6.28865981519444,-5.79378215661572
111,-7.83914946489189,-7.42110751291891,-7.62269094271486,-7.16657127086625,-6.37957392052454,-7.82045411564784,-7.49428319306763,-11.8787706612464,-5.89166637163113,-5.40935128123194
112,-7.45412876778632,-7.03644986789371,-7.21978506896252,-6.77627702880431,-5.99550618613219,-7.39986988349215,-7.08987626579729,-11.4971573340455,-5.51455890136514,-5.04296409423507
113,-7.08798914673002,-6.67063050204768,-6.83726937799406,-6.40530220618676,-5.63023091193499,-7.0009983412409,-6.70593128290438,-11.1286592595992,-5.15568201736466,-4.69328219065493
114,-6.73920253535754,-6.32212807402409,-6.47342373132857,-6.0520636621129,-5.28223216698287,-6.62197277204936,-6.34072534284336,-10.7730662773776,-4.81358861035105,-4.35911160066367
115,-6.40642856032947,-5.98960764839708,-6.12674687336908,-5.71517478035509,-4.95017961263632,-6.26116529246437,-5.99275382566952,-10.4300644433359,-4.48700640099623,-4.03938396573368
116,-6.08848509466659,-5.67189153550176,-5.79592089685292,-5.39341431952445,-4.63289948933554,-5.91714822566193,-5.6606951807193,-10.0992735990337,-4.17481095212715,-3.73314044613496
117,-5.78432437280642,-5.36793562099405,-5.47978264228526,-5.08570120442788,-4.32935106249832,-5.58866291424175,-5.34338252939332,-9.78027439872899,-3.8760036994323,-3.43951795892894
118,-5.49301345268016,-5.07680999044002,-5.17730046884532,-4.79107394880931,-4.03860733999999,-5.27459433288347,-5.03978056237992,-9.47262757950277,-3.58969392100898,-3.15773739363105
119,-5.21371810878493,-4.79768294686121,-4.88755523015791,-4.50867372464356,-3.75983916447487,-4.97395026378971,-4.74896659159093,-9.17588755015246,-3.31508382771717,-2.88709350172527
120,-4.94568945781206,-4.52980773266686,-4.60972457359196,-4.23773032912827,-3.49230199585641,-4.68584409246847,-4.47011489292145,-8.88961183462945,-3.05145614789829,-2.62694620178195
121,-4.68825277884527,-4.27251142506208,-4.34306988998853,-3.97755047401213,-3.23532485626349,-4.4094804992078,-4.20248367816506,-8.61336750104038,-2.7981637219844,-2.37671308232025
122,-4.44079810980332,-4.02518559174056,-4.08692539456836,-3.72750795092304,-2.98830102634868,-4.1441434841752,-3.94540418437147,-8.34673540675026,-2.55462072887303,-2.13586291939488
123,-4.20277229198063,-3.78727838248198,-3.84068893469958,-3.48703532334341,-2.75068017050638,-3.88918628656434,-3.69827148132242,-8.08931286838359,-2.32029524642168,-1.90391005545476
124,-3.97367220316303,-3.55828779992562,-3.60381420695777,-3.25561686950372,-2.52196163559306,-3.64402285131648,-3.46053668287654,-7.8407152024546,-2.09470290989729,-1.68040951086987
125,-3.7530389724932,-3.33775594478657,-3.37580413202083,-3.03278255687471,-2.3016887195072,-3.40812056830773,-3.23170031293121,-7.60057646266001,-1.87740147959788,-1.4649527202845
126,-3.54045301107346,-3.12526407108411,-3.15620518677962,-2.81810287253336,-2.08944374605009,-3.18099406403141,-3.01130662684251,-7.36854961206902,-1.66798616568508,-1.25716380324905
127,-3.33552972415379,-2.9204283184357,-2.94460253246541,-2.61118436764228,-1.88484381379705,-2.96219986872766,-2.79893872806505,-7.14430630404501,-1.46608558710132,-1.0566962929658
128,-3.13791579581226,-2.72289601325061,-2.74061580840691,-2.41166580094592,-1.68753711135307,-2.75133181556834,-2.59421435024705,-6.92753639847951,-1.27135826419287,-0.863230258946435
129,-2.94728595688296,-2.53234245029626,-2.54389548528856,-2.21921478726901,-1.49719971089938,-2.54801705507392,-2.39678219904809,-6.71794730522821,-1.08348956272818,-0.676469769333517
130,-2.76334016271265,-2.34846808177859,-2.3541196910172,-2.03352487378415,-1.31353276752299,-2.35191258904995,-2.20631876702837,-6.51526322115896,-0.902189021445138,-0.496140646934083
131,-2.58580112002526,-2.17099605365532,-2.17099143765576,-1.85431298025896,-1.13626006433271,-2.16270224520753,-2.02252555020705,-6.31922430850286,-0.727188006879813,-0.321988479937838
132,-2.41441211242166,-1.99967003905763,-1.99423619021123,-1.68131715032709,-0.965125853469603,-1.98009402720414,-1.84512660714669,-6.12958584844871,-0.558237648628791,-0.153776854085006
133,-2.24893508236118,-1.83425232694333,-1.82359972802332,-1.51429456960913,-0.799892951325967,-1.80381778581585,-1.67386641133489,-5.94611739382796,-0.395107015844179,0.00871422209467676
134,-2.08914893425878,-1.67452213083682,-1.65884625759027,-1.35301981366471,-0.640341052985262,-1.63362316587358,-1.50850795569479,-5.7686019373386,-0.237581502013036,0.165689723269305
135,-1.93484802889916,-1.52027408803518,-1.49975674227472,-1.19728329461895,-0.486265236392935,-1.46927779088613,-1.34883107464407,-5.59683510634658,-0.0854613902119925,0.317340865377038
