"Theta [deg]","dB(RealizedGainPhi) [] - Freq='3.607GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='4.682GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='5.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='6.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='7.644GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='8.925GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='9.531GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='10.5GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='11.824GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='13.93GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='14.5GHz' Phi='0deg'"
71,0.909771121064004,1.17705707352566,1.07644745468044,0.919428907433659,1.42448586140457,0.190487421743557,0.142122865427516,-4.4335039451519,-2.22498905048794,-5.51856643701283,-11.3691290373816,-14.6699913527925
72,0.907940729216646,1.17421973027544,1.07076563286357,0.91095977744584,1.41934768754301,0.194372915464029,0.166981142844906,-4.40481134092427,-2.27104069611348,-5.58537365985226,-11.3322953933306,-14.5194085168113
73,0.906220190958747,1.17158544854104,1.06543863556393,0.903230301314913,1.41490186456499,0.199711357867641,0.192302991889933,-4.37660947142867,-2.31208369780416,-5.64695973784599,-11.2677952034029,-14.3553127586573
74,0.904612304390678,1.16915870002346,1.06048172064723,0.8962442355385,1.41116300106988,0.206412545978754,0.217891731378639,-4.34892726897906,-2.34834650667959,-5.70324785804444,-11.1805876571145,-14.1853646349784
75,0.90311971491371,1.16694390893528,1.05590979372808,0.890004225874951,1.40814872719191,0.214379738923791,0.243567218197699,-4.32178203873597,-2.38010462520542,-5.7541484159125,-11.0759893990451,-14.0157234682081
76,0.901744912245995,1.16494542435128,1.05173730893793,0.884511994691068,1.40587915672218,0.223512428992932,0.269167549008818,-4.29518374029145,-2.40766301363862,-5.79958986190567,-10.9593011454039,-13.851094689827
77,0.900490227732762,1.16316749114213,1.04797817535584,0.87976851097409,1.40437631073319,0.233708951088132,0.294550012257688,-4.26913843804433,-2.43133984533457,-5.83954508729331,-10.8355160613653,-13.6948946714839
78,0.899357831934356,1.16161422003155,1.04464566973899,0.875774141630962,1.40366352112581,0.244868863885518,0.319591373856395,-4.24365088694138,-2.45145240776154,-5.87405130538645,-10.7091252726228,-13.5494654034367
79,0.898349732475614,1.16028955730096,1.04175235600095,0.872528783497584,1.40376483063205,0.256895056655571,0.344187594592531,-4.21872627142514,-2.46830564000203,-5.90322218237267,-10.5840150526897,-13.4162954726101
80,0.897467772140277,1.15919725464245,1.03931001171337,0.870031976191749,1.40470440368831,0.269695555408165,0.36825308463797,-4.19437115679458,-2.4821835107275,-5.92725179321784,-10.4634383384852,-13.2962234298377
81,0.896713627194332,1.1583408396321,1.03732956175155,0.868282996550852,1.40650596037045,0.283185019872078,0.391719601820349,-4.17059374350701,-2.49334319533518,-5.94641074615724,-10.3500392979136,-13.1896130414113
82,0.896088805922861,1.15772358726338,1.03582101907194,0.867280935888329,1.40919224336451,0.297285938076982,0.414534896943091,-4.1474035365803,-2.50201181913194,-5.96103546405433,-10.2459110013552,-13.096497947798
83,0.895594647365718,1.15734849294409,1.03479343249926,0.867024761675599,1.41278452582909,0.311929537547302,0.436661202670159,-4.1248105549592,-2.50838539842873,-5.97151208012043,-10.1526701156247,-13.0166974812821
84,0.895232320238241,1.15721824732239,1.03425484131491,0.86751336550899,1.41730216606266,0.327056441154943,0.458073653458026,-4.10282421056905,-2.51262953005719,-5.97825667359063,-10.0715369978206,-12.9499072596349
85,0.895002822024475,1.15733521326794,1.03421223637632,0.868745599355787,1.42276221317448,0.34261710152986,0.478758713660275,-4.0814519850841,-2.51488134506934,-5.98169364193861,-10.0034135449573,-12.8957687125766
86,0.894906978231383,1.15770140529357,1.03467152745803,0.870720302097378,1.4291790665083,0.358572050768258,0.498712679993552,-4.060698025561,-2.51525224533447,-5.98223390989944,-9.94895423892834,-12.8539215697936
87,0.894945441793981,1.15831847166226,1.03563751648868,0.873436318309481,1.43656419039704,0.374892002297478,0.517940313588999,-4.04056176937465,-2.51383097327478,-5.98025445870193,-9.9086279877755,-12.8240429208132
88,0.895118692622706,1.15918767938382,1.03711387636151,0.876892511050968,1.44492588493406,0.391557839516507,0.536453646230817,-4.02103669555019,-2.51068661676576,-5.97608037404374,-9.8827697517004,-12.8058759437219
89,0.895427037285716,1.16030990226504,1.0391031350177,0.881087770186036,1.45426911281268,0.408560521632879,0.554270995315044,-4.00210928459981,-2.5058712163183,-5.96997030647227,-9.8716217509205,-12.7992508808213
90,0.895870608820269,1.16168561213747,1.04160666453788,0.886021017454457,1.46459538188048,0.425900931380189,0.571416212621972,-3.98375825306627,-2.49942171466975,-5.96210594901106,-9.87536446096426,-12.8041003474679
91,0.896449366668932,1.16331487334793,1.04462467502674,0.891691209145132,1.47590268283597,0.443589682444757,0.587918183149407,-3.96595411259086,-2.49136106595811,-5.95258588464108,-9.89413774869017,-12.8204706014894
92,0.89716309673773,1.16519734055771,1.04815621313244,0.898097336834163,1.48818548141141,0.461646896864284,0.603810581878794,-3.94865908664946,-2.48169840015749,-5.94142394577532,-9.92805248771481,-12.8485299703211
93,0.898011411574804,1.16733225985824,1.05219916510637,0.905238426236647,1.50143476438356,0.48010195478645,0.619131888264938,-3.9318274011269,-2.47042821683678,-5.92855205181243,-9.97719288003564,-12.8885752243449
94,0.898993750669726,1.16971847317293,1.05675026437346,0.913113533805057,1.51563813877491,0.498993211180406,0.633925650243367,-3.91540594749967,-2.45752865966909,-5.91382733394299,-10.0416095428968,-12.9410362907144
95,0.900109380874765,1.17235442587671,1.06180510364767,0.921721740303822,1.53077998359491,0.518367666759435,0.648240981426443,-3.89933529942331,-2.44295899888257,-5.89704320064636,-10.1213032243546,-13.0064793144561
